group,value1,value2
UC Merced,41,70
UC San Diego,41,69
UCSF,43,69
UC Davis,49,74
UCLA,52,77
UC Berkeley,53,65
UC Irvine,53,84
UC Santa Cruz,55,76
UC Santa Barbara,60,74
